index,full,casewords,wsw,nopunc,text_lemmatized,final,fullnopunc,label
919,Three men drink at a reflective bar.,three men drink at a reflective bar.,three men drink reflective bar.,three men drink reflective bar,"['three', 'men', 'drink', 'reflective', 'bar']",three men drink reflective bar,Three men drink at a reflective bar,neutral
920,Two men are dressed up as snowmen.,two men are dressed up as snowmen.,two men dressed snowmen.,two men dressed snowmen,"['two', 'men', 'dressed', 'snowman']",two men dressed snowman,Two men are dressed up as snowmen,neutral
921,One female and two male musicians holding musical equipment.,one female and two male musicians holding musical equipment.,one female two male musicians holding musical equipment.,one female two male musicians holding musical equipment,"['one', 'female', 'two', 'male', 'musician', 'holding', 'musical', 'equipment']",one female two male musician holding musical equipment,One female and two male musicians holding musical equipment,contradiction
922,One female and two male musicians holding musical equipment.,one female and two male musicians holding musical equipment.,one female two male musicians holding musical equipment.,one female two male musicians holding musical equipment,"['one', 'female', 'two', 'male', 'musician', 'holding', 'musical', 'equipment']",one female two male musician holding musical equipment,One female and two male musicians holding musical equipment,entailment
923,A wet black lab with a red collar is standing in the water.,a wet black lab with a red collar is standing in the water.,wet black lab red collar standing water.,wet black lab red collar standing water,"['wet', 'black', 'lab', 'red', 'collar', 'standing', 'water']",wet black lab red collar standing water,A wet black lab with a red collar is standing in the water,neutral
924,a teenager laying down with paper crafts strewn about the floor,a teenager laying down with paper crafts strewn about the floor,teenager laying paper crafts strewn floor,teenager laying paper crafts strewn floor,"['teenager', 'laying', 'paper', 'craft', 'strewn', 'floor']",teenager laying paper craft strewn floor,a teenager laying down with paper crafts strewn about the floor,entailment
925,A performer plays an instrument for the audience.,a performer plays an instrument for the audience.,performer plays instrument audience.,performer plays instrument audience,"['performer', 'play', 'instrument', 'audience']",performer play instrument audience,A performer plays an instrument for the audience,neutral
926,The man is wearing an orange and black polo shirt and is kneeling with his lunch box in one hand while holding a banana in his other hand.,the man is wearing an orange and black polo shirt and is kneeling with his lunch box in one hand while holding a banana in his other hand.,man wearing orange black polo shirt kneeling lunch box one hand holding banana hand.,man wearing orange black polo shirt kneeling lunch box one hand holding banana hand,"['man', 'wearing', 'orange', 'black', 'polo', 'shirt', 'kneeling', 'lunch', 'box', 'one', 'hand', 'holding', 'banana', 'hand']",man wearing orange black polo shirt kneeling lunch box one hand holding banana hand,The man is wearing an orange and black polo shirt and is kneeling with his lunch box in one hand while holding a banana in his other hand,entailment
927,"The festivities of the Latin celebration has brought many visitors and enthusiastic, colorful, performers to the city.","the festivities of the latin celebration has brought many visitors and enthusiastic, colorful, performers to the city.","festivities latin celebration brought many visitors enthusiastic, colorful, performers city.",festivities latin celebration brought many visitors enthusiastic colorful performers city,"['festivity', 'latin', 'celebration', 'brought', 'many', 'visitor', 'enthusiastic', 'colorful', 'performer', 'city']",festivity latin celebration brought many visitor enthusiastic colorful performer city,The festivities of the Latin celebration has brought many visitors and enthusiastic colorful performers to the city,neutral
928,A smiling bride sits in a swing with her smiling groom standing behind her posing for the male photographer while a boy holding a bottled drink and another boy wearing a green shirt observe.,a smiling bride sits in a swing with her smiling groom standing behind her posing for the male photographer while a boy holding a bottled drink and another boy wearing a green shirt observe.,smiling bride sits swing smiling groom standing behind posing male photographer boy holding bottled drink another boy wearing green shirt observe.,smiling bride sits swing smiling groom standing behind posing male photographer boy holding bottled drink another boy wearing green shirt observe,"['smiling', 'bride', 'sits', 'swing', 'smiling', 'groom', 'standing', 'behind', 'posing', 'male', 'photographer', 'boy', 'holding', 'bottled', 'drink', 'another', 'boy', 'wearing', 'green', 'shirt', 'observe']",smiling bride sits swing smiling groom standing behind posing male photographer boy holding bottled drink another boy wearing green shirt observe,A smiling bride sits in a swing with her smiling groom standing behind her posing for the male photographer while a boy holding a bottled drink and another boy wearing a green shirt observe,entailment
929,A smiling bride sits in a swing with her smiling groom standing behind her posing for the male photographer while a boy holding a bottled drink and another boy wearing a green shirt observe.,a smiling bride sits in a swing with her smiling groom standing behind her posing for the male photographer while a boy holding a bottled drink and another boy wearing a green shirt observe.,smiling bride sits swing smiling groom standing behind posing male photographer boy holding bottled drink another boy wearing green shirt observe.,smiling bride sits swing smiling groom standing behind posing male photographer boy holding bottled drink another boy wearing green shirt observe,"['smiling', 'bride', 'sits', 'swing', 'smiling', 'groom', 'standing', 'behind', 'posing', 'male', 'photographer', 'boy', 'holding', 'bottled', 'drink', 'another', 'boy', 'wearing', 'green', 'shirt', 'observe']",smiling bride sits swing smiling groom standing behind posing male photographer boy holding bottled drink another boy wearing green shirt observe,A smiling bride sits in a swing with her smiling groom standing behind her posing for the male photographer while a boy holding a bottled drink and another boy wearing a green shirt observe,neutral
930,Man sitting playing guitar.,man sitting playing guitar.,man sitting playing guitar.,man sitting playing guitar,"['man', 'sitting', 'playing', 'guitar']",man sitting playing guitar,Man sitting playing guitar,entailment
931,A man with long hair talking into a microphone as if on a stage.,a man with long hair talking into a microphone as if on a stage.,man long hair talking microphone stage.,man long hair talking microphone stage,"['man', 'long', 'hair', 'talking', 'microphone', 'stage']",man long hair talking microphone stage,A man with long hair talking into a microphone as if on a stage,entailment
932,"A woman wearing dollar sign glasses, holding a dollar bill, stands with a suitcase that says ""Lucky"" that is overflowing with cash.","a woman wearing dollar sign glasses, holding a dollar bill, stands with a suitcase that says ""lucky"" that is overflowing with cash.","woman wearing dollar sign glasses, holding dollar bill, stands suitcase says ""lucky"" overflowing cash.","woman wearing dollar sign glasses holding dollar bill stands suitcase says ""lucky"" overflowing cash","['woman', 'wearing', 'dollar', 'sign', 'glass', 'holding', 'dollar', 'bill', 'stand', 'suitcase', 'say', '""lucky""', 'overflowing', 'cash']","woman wearing dollar sign glass holding dollar bill stand suitcase say ""lucky"" overflowing cash","A woman wearing dollar sign glasses holding a dollar bill stands with a suitcase that says ""Lucky"" that is overflowing with cash",contradiction
933,"A woman wearing dollar sign glasses, holding a dollar bill, stands with a suitcase that says ""Lucky"" that is overflowing with cash.","a woman wearing dollar sign glasses, holding a dollar bill, stands with a suitcase that says ""lucky"" that is overflowing with cash.","woman wearing dollar sign glasses, holding dollar bill, stands suitcase says ""lucky"" overflowing cash.","woman wearing dollar sign glasses holding dollar bill stands suitcase says ""lucky"" overflowing cash","['woman', 'wearing', 'dollar', 'sign', 'glass', 'holding', 'dollar', 'bill', 'stand', 'suitcase', 'say', '""lucky""', 'overflowing', 'cash']","woman wearing dollar sign glass holding dollar bill stand suitcase say ""lucky"" overflowing cash","A woman wearing dollar sign glasses holding a dollar bill stands with a suitcase that says ""Lucky"" that is overflowing with cash",entailment
934,A person is riding their motorbike and a person in a bright yellow jacket is watching someone fall off their bike.,a person is riding their motorbike and a person in a bright yellow jacket is watching someone fall off their bike.,person riding motorbike person bright yellow jacket watching someone fall bike.,person riding motorbike person bright yellow jacket watching someone fall bike,"['person', 'riding', 'motorbike', 'person', 'bright', 'yellow', 'jacket', 'watching', 'someone', 'fall', 'bike']",person riding motorbike person bright yellow jacket watching someone fall bike,A person is riding their motorbike and a person in a bright yellow jacket is watching someone fall off their bike,contradiction
935,A man is holding a child on his shoulders.,a man is holding a child on his shoulders.,man holding child shoulders.,man holding child shoulders,"['man', 'holding', 'child', 'shoulder']",man holding child shoulder,A man is holding a child on his shoulders,contradiction
936,A man is holding a child on his shoulders.,a man is holding a child on his shoulders.,man holding child shoulders.,man holding child shoulders,"['man', 'holding', 'child', 'shoulder']",man holding child shoulder,A man is holding a child on his shoulders,entailment
937,Young child standing on a snow pile in a city.,young child standing on a snow pile in a city.,young child standing snow pile city.,young child standing snow pile city,"['young', 'child', 'standing', 'snow', 'pile', 'city']",young child standing snow pile city,Young child standing on a snow pile in a city,contradiction
938,"A child wearing a brown coat, red hat and snow boots on top of a snow pile near a tree on the corner of a street intersection.","a child wearing a brown coat, red hat and snow boots on top of a snow pile near a tree on the corner of a street intersection.","child wearing brown coat, red hat snow boots top snow pile near tree corner street intersection.",child wearing brown coat red hat snow boots top snow pile near tree corner street intersection,"['child', 'wearing', 'brown', 'coat', 'red', 'hat', 'snow', 'boot', 'top', 'snow', 'pile', 'near', 'tree', 'corner', 'street', 'intersection']",child wearing brown coat red hat snow boot top snow pile near tree corner street intersection,A child wearing a brown coat red hat and snow boots on top of a snow pile near a tree on the corner of a street intersection,neutral
939,A small group of people wait to board an MTA bus.,a small group of people wait to board an mta bus.,small group people wait board mta bus.,small group people wait board mta bus,"['small', 'group', 'people', 'wait', 'board', 'mta', 'bus']",small group people wait board mta bus,A small group of people wait to board an MTA bus,entailment
940,A dog with a purple leash is held by a woman wearing white shoes.,a dog with a purple leash is held by a woman wearing white shoes.,dog purple leash held woman wearing white shoes.,dog purple leash held woman wearing white shoes,"['dog', 'purple', 'leash', 'held', 'woman', 'wearing', 'white', 'shoe']",dog purple leash held woman wearing white shoe,A dog with a purple leash is held by a woman wearing white shoes,entailment
941,A tall elder man is standing with his hand around another shorter elder man in the middle of the city,a tall elder man is standing with his hand around another shorter elder man in the middle of the city,tall elder man standing hand around another shorter elder man middle city,tall elder man standing hand around another shorter elder man middle city,"['tall', 'elder', 'man', 'standing', 'hand', 'around', 'another', 'shorter', 'elder', 'man', 'middle', 'city']",tall elder man standing hand around another shorter elder man middle city,A tall elder man is standing with his hand around another shorter elder man in the middle of the city,neutral
942,A man with a cigarette sits on the stoop.,a man with a cigarette sits on the stoop.,man cigarette sits stoop.,man cigarette sits stoop,"['man', 'cigarette', 'sits', 'stoop']",man cigarette sits stoop,A man with a cigarette sits on the stoop,neutral
943,A man with a cigarette sits on the stoop.,a man with a cigarette sits on the stoop.,man cigarette sits stoop.,man cigarette sits stoop,"['man', 'cigarette', 'sits', 'stoop']",man cigarette sits stoop,A man with a cigarette sits on the stoop,neutral
944,"An elderly man with glasses, a red ball cap and backpack is standing in front of an open doorway.","an elderly man with glasses, a red ball cap and backpack is standing in front of an open doorway.","elderly man glasses, red ball cap backpack standing front open doorway.",elderly man glasses red ball cap backpack standing front open doorway,"['elderly', 'man', 'glass', 'red', 'ball', 'cap', 'backpack', 'standing', 'front', 'open', 'doorway']",elderly man glass red ball cap backpack standing front open doorway,An elderly man with glasses a red ball cap and backpack is standing in front of an open doorway,neutral
945,"An elderly man with glasses, a red ball cap and backpack is standing in front of an open doorway.","an elderly man with glasses, a red ball cap and backpack is standing in front of an open doorway.","elderly man glasses, red ball cap backpack standing front open doorway.",elderly man glasses red ball cap backpack standing front open doorway,"['elderly', 'man', 'glass', 'red', 'ball', 'cap', 'backpack', 'standing', 'front', 'open', 'doorway']",elderly man glass red ball cap backpack standing front open doorway,An elderly man with glasses a red ball cap and backpack is standing in front of an open doorway,entailment
946,A large group of people populate a dimly lit room.,a large group of people populate a dimly lit room.,large group people populate dimly lit room.,large group people populate dimly lit room,"['large', 'group', 'people', 'populate', 'dimly', 'lit', 'room']",large group people populate dimly lit room,A large group of people populate a dimly lit room,neutral
947,A large group of people populate a dimly lit room.,a large group of people populate a dimly lit room.,large group people populate dimly lit room.,large group people populate dimly lit room,"['large', 'group', 'people', 'populate', 'dimly', 'lit', 'room']",large group people populate dimly lit room,A large group of people populate a dimly lit room,contradiction
948,A young man in an orange hat walks his bicycle down a street.,a young man in an orange hat walks his bicycle down a street.,young man orange hat walks bicycle street.,young man orange hat walks bicycle street,"['young', 'man', 'orange', 'hat', 'walk', 'bicycle', 'street']",young man orange hat walk bicycle street,A young man in an orange hat walks his bicycle down a street,neutral
949,A woman with red-hair staples some papers,a woman with red-hair staples some papers,woman red-hair staples papers,woman red-hair staples papers,"['woman', 'red-hair', 'staple', 'paper']",woman red-hair staple paper,A woman with red-hair staples some papers,contradiction
950,"It looks like quite a sweaty, smelly dog pile over one little rugby ball, but the boys in blue seem to want it more.","it looks like quite a sweaty, smelly dog pile over one little rugby ball, but the boys in blue seem to want it more.","looks like quite sweaty, smelly dog pile one little rugby ball, boys blue seem want more.",looks like quite sweaty smelly dog pile one little rugby ball boys blue seem want more,"['look', 'like', 'quite', 'sweaty', 'smelly', 'dog', 'pile', 'one', 'little', 'rugby', 'ball', 'boy', 'blue', 'seem', 'want', 'more']",look like quite sweaty smelly dog pile one little rugby ball boy blue seem want more,It looks like quite a sweaty smelly dog pile over one little rugby ball but the boys in blue seem to want it more,contradiction
951,"It looks like quite a sweaty, smelly dog pile over one little rugby ball, but the boys in blue seem to want it more.","it looks like quite a sweaty, smelly dog pile over one little rugby ball, but the boys in blue seem to want it more.","looks like quite sweaty, smelly dog pile one little rugby ball, boys blue seem want more.",looks like quite sweaty smelly dog pile one little rugby ball boys blue seem want more,"['look', 'like', 'quite', 'sweaty', 'smelly', 'dog', 'pile', 'one', 'little', 'rugby', 'ball', 'boy', 'blue', 'seem', 'want', 'more']",look like quite sweaty smelly dog pile one little rugby ball boy blue seem want more,It looks like quite a sweaty smelly dog pile over one little rugby ball but the boys in blue seem to want it more,entailment
952,A white-clad soccer player is attempting to intercept a soccer ball that is quickly approaching the goal box.,a white-clad soccer player is attempting to intercept a soccer ball that is quickly approaching the goal box.,white-clad soccer player attempting intercept soccer ball quickly approaching goal box.,white-clad soccer player attempting intercept soccer ball quickly approaching goal box,"['white-clad', 'soccer', 'player', 'attempting', 'intercept', 'soccer', 'ball', 'quickly', 'approaching', 'goal', 'box']",white-clad soccer player attempting intercept soccer ball quickly approaching goal box,A white-clad soccer player is attempting to intercept a soccer ball that is quickly approaching the goal box,entailment
953,A man is tossing a knife in the air while another man stands nearby.,a man is tossing a knife in the air while another man stands nearby.,man tossing knife air another man stands nearby.,man tossing knife air another man stands nearby,"['man', 'tossing', 'knife', 'air', 'another', 'man', 'stand', 'nearby']",man tossing knife air another man stand nearby,A man is tossing a knife in the air while another man stands nearby,contradiction
954,A photographer is using a tripod to take a picture of a sunset.,a photographer is using a tripod to take a picture of a sunset.,photographer using tripod take picture sunset.,photographer using tripod take picture sunset,"['photographer', 'using', 'tripod', 'take', 'picture', 'sunset']",photographer using tripod take picture sunset,A photographer is using a tripod to take a picture of a sunset,contradiction
955,Two men are assisting a small girl in a harness.,two men are assisting a small girl in a harness.,two men assisting small girl harness.,two men assisting small girl harness,"['two', 'men', 'assisting', 'small', 'girl', 'harness']",two men assisting small girl harness,Two men are assisting a small girl in a harness,contradiction
956,"A person in an orange jacket getting out of the rear of a Toyota SUV, parked in front of a view of the ocean and mountains.","a person in an orange jacket getting out of the rear of a toyota suv, parked in front of a view of the ocean and mountains.","person orange jacket getting rear toyota suv, parked front view ocean mountains.",person orange jacket getting rear toyota suv parked front view ocean mountains,"['person', 'orange', 'jacket', 'getting', 'rear', 'toyota', 'suv', 'parked', 'front', 'view', 'ocean', 'mountain']",person orange jacket getting rear toyota suv parked front view ocean mountain,A person in an orange jacket getting out of the rear of a Toyota SUV parked in front of a view of the ocean and mountains,contradiction
957,A woman in a black top and blue skirt is pushing a carriage or cart down a long empty tree-lined road.,a woman in a black top and blue skirt is pushing a carriage or cart down a long empty tree-lined road.,woman black top blue skirt pushing carriage cart long empty tree-lined road.,woman black top blue skirt pushing carriage cart long empty tree-lined road,"['woman', 'black', 'top', 'blue', 'skirt', 'pushing', 'carriage', 'cart', 'long', 'empty', 'tree-lined', 'road']",woman black top blue skirt pushing carriage cart long empty tree-lined road,A woman in a black top and blue skirt is pushing a carriage or cart down a long empty tree-lined road,neutral
958,A woman in a black top and blue skirt is pushing a carriage or cart down a long empty tree-lined road.,a woman in a black top and blue skirt is pushing a carriage or cart down a long empty tree-lined road.,woman black top blue skirt pushing carriage cart long empty tree-lined road.,woman black top blue skirt pushing carriage cart long empty tree-lined road,"['woman', 'black', 'top', 'blue', 'skirt', 'pushing', 'carriage', 'cart', 'long', 'empty', 'tree-lined', 'road']",woman black top blue skirt pushing carriage cart long empty tree-lined road,A woman in a black top and blue skirt is pushing a carriage or cart down a long empty tree-lined road,neutral
959,A man is repairing roof shingles.,a man is repairing roof shingles.,man repairing roof shingles.,man repairing roof shingles,"['man', 'repairing', 'roof', 'shingle']",man repairing roof shingle,A man is repairing roof shingles,neutral
960,Two girls pose along a tree-lined path and blow kisses towards the camera.,two girls pose along a tree-lined path and blow kisses towards the camera.,two girls pose along tree-lined path blow kisses towards camera.,two girls pose along tree-lined path blow kisses towards camera,"['two', 'girl', 'pose', 'along', 'tree-lined', 'path', 'blow', 'kiss', 'towards', 'camera']",two girl pose along tree-lined path blow kiss towards camera,Two girls pose along a tree-lined path and blow kisses towards the camera,entailment
961,Two girls pose along a tree-lined path and blow kisses towards the camera.,two girls pose along a tree-lined path and blow kisses towards the camera.,two girls pose along tree-lined path blow kisses towards camera.,two girls pose along tree-lined path blow kisses towards camera,"['two', 'girl', 'pose', 'along', 'tree-lined', 'path', 'blow', 'kiss', 'towards', 'camera']",two girl pose along tree-lined path blow kiss towards camera,Two girls pose along a tree-lined path and blow kisses towards the camera,neutral
962,Three men dancing as a group of people watch.,three men dancing as a group of people watch.,three men dancing group people watch.,three men dancing group people watch,"['three', 'men', 'dancing', 'group', 'people', 'watch']",three men dancing group people watch,Three men dancing as a group of people watch,neutral
963,Two men sit together and a woman is not too far from them under a bridge as all three watch the water in front of them.,two men sit together and a woman is not too far from them under a bridge as all three watch the water in front of them.,two men sit together woman far bridge three watch water front them.,two men sit together woman far bridge three watch water front them,"['two', 'men', 'sit', 'together', 'woman', 'far', 'bridge', 'three', 'watch', 'water', 'front', 'them']",two men sit together woman far bridge three watch water front them,Two men sit together and a woman is not too far from them under a bridge as all three watch the water in front of them,entailment
964,"An Asian woman in a purple shirt preparing a bowl of food for the younger Asian boy sitting near buy, while an Asian man eats a roll and prepares to take some food up with his chopsticks.","an asian woman in a purple shirt preparing a bowl of food for the younger asian boy sitting near buy, while an asian man eats a roll and prepares to take some food up with his chopsticks.","asian woman purple shirt preparing bowl food younger asian boy sitting near buy, asian man eats roll prepares take food chopsticks.",asian woman purple shirt preparing bowl food younger asian boy sitting near buy asian man eats roll prepares take food chopsticks,"['asian', 'woman', 'purple', 'shirt', 'preparing', 'bowl', 'food', 'younger', 'asian', 'boy', 'sitting', 'near', 'buy', 'asian', 'man', 'eats', 'roll', 'prepares', 'take', 'food', 'chopstick']",asian woman purple shirt preparing bowl food younger asian boy sitting near buy asian man eats roll prepares take food chopstick,An Asian woman in a purple shirt preparing a bowl of food for the younger Asian boy sitting near buy while an Asian man eats a roll and prepares to take some food up with his chopsticks,contradiction
965,"There is one man with light blue jeans on, and one with dark blue jeans on that are walking down the street.","there is one man with light blue jeans on, and one with dark blue jeans on that are walking down the street.","one man light blue jeans on, one dark blue jeans walking street.",one man light blue jeans on one dark blue jeans walking street,"['one', 'man', 'light', 'blue', 'jean', 'on', 'one', 'dark', 'blue', 'jean', 'walking', 'street']",one man light blue jean on one dark blue jean walking street,There is one man with light blue jeans on and one with dark blue jeans on that are walking down the street,entailment
966,two white dogs fighting with each other,two white dogs fighting with each other,two white dogs fighting,two white dogs fighting,"['two', 'white', 'dog', 'fighting']",two white dog fighting,two white dogs fighting with each other,neutral
967,two white dogs fighting with each other,two white dogs fighting with each other,two white dogs fighting,two white dogs fighting,"['two', 'white', 'dog', 'fighting']",two white dog fighting,two white dogs fighting with each other,entailment
968,two white dogs fighting with each other,two white dogs fighting with each other,two white dogs fighting,two white dogs fighting,"['two', 'white', 'dog', 'fighting']",two white dog fighting,two white dogs fighting with each other,contradiction
969,A man is doing a task by a body of water on a farm.,a man is doing a task by a body of water on a farm.,man task body water farm.,man task body water farm,"['man', 'task', 'body', 'water', 'farm']",man task body water farm,A man is doing a task by a body of water on a farm,neutral
970,On the ground a boy in a red sweatshirt is leaning over holding a football and two other kids.,on the ground a boy in a red sweatshirt is leaning over holding a football and two other kids.,ground boy red sweatshirt leaning holding football two kids.,ground boy red sweatshirt leaning holding football two kids,"['ground', 'boy', 'red', 'sweatshirt', 'leaning', 'holding', 'football', 'two', 'kid']",ground boy red sweatshirt leaning holding football two kid,On the ground a boy in a red sweatshirt is leaning over holding a football and two other kids,contradiction
971,"Two girls jumping on a trampoline, one upright and the other landing on her back, in a backyard.","two girls jumping on a trampoline, one upright and the other landing on her back, in a backyard.","two girls jumping trampoline, one upright landing back, backyard.",two girls jumping trampoline one upright landing back backyard,"['two', 'girl', 'jumping', 'trampoline', 'one', 'upright', 'landing', 'back', 'backyard']",two girl jumping trampoline one upright landing back backyard,Two girls jumping on a trampoline one upright and the other landing on her back in a backyard,neutral
972,A girl is blowing a huge bubble.,a girl is blowing a huge bubble.,girl blowing huge bubble.,girl blowing huge bubble,"['girl', 'blowing', 'huge', 'bubble']",girl blowing huge bubble,A girl is blowing a huge bubble,neutral
973,A small child is giving heavy metal signs,a small child is giving heavy metal signs,small child giving heavy metal signs,small child giving heavy metal signs,"['small', 'child', 'giving', 'heavy', 'metal', 'sign']",small child giving heavy metal sign,A small child is giving heavy metal signs,contradiction
974,A canoe in the distance on a lake as seen from another canoe.,a canoe in the distance on a lake as seen from another canoe.,canoe distance lake seen another canoe.,canoe distance lake seen another canoe,"['canoe', 'distance', 'lake', 'seen', 'another', 'canoe']",canoe distance lake seen another canoe,A canoe in the distance on a lake as seen from another canoe,neutral
975,4 children and 1 adult look at an armadillo on a grassy hill with 2 trees.,4 children and 1 adult look at an armadillo on a grassy hill with 2 trees.,4 children 1 adult look armadillo grassy hill 2 trees.,4 children 1 adult look armadillo grassy hill 2 trees,"['4', 'child', '1', 'adult', 'look', 'armadillo', 'grassy', 'hill', '2', 'tree']",4 child 1 adult look armadillo grassy hill 2 tree,4 children and 1 adult look at an armadillo on a grassy hill with 2 trees,neutral
976,A child with a yellow shirt riding a yellow bike in a city.,a child with a yellow shirt riding a yellow bike in a city.,child yellow shirt riding yellow bike city.,child yellow shirt riding yellow bike city,"['child', 'yellow', 'shirt', 'riding', 'yellow', 'bike', 'city']",child yellow shirt riding yellow bike city,A child with a yellow shirt riding a yellow bike in a city,entailment
977,A shirtless man with his fishing boat.,a shirtless man with his fishing boat.,shirtless man fishing boat.,shirtless man fishing boat,"['shirtless', 'man', 'fishing', 'boat']",shirtless man fishing boat,A shirtless man with his fishing boat,contradiction
978,"Along a paved walkway outdoors, a person in a black windbreaker takes a photo of a multi-piece fish statue while a small white dog looks on.","along a paved walkway outdoors, a person in a black windbreaker takes a photo of a multi-piece fish statue while a small white dog looks on.","along paved walkway outdoors, person black windbreaker takes photo multi-piece fish statue small white dog looks on.",along paved walkway outdoors person black windbreaker takes photo multi-piece fish statue small white dog looks on,"['along', 'paved', 'walkway', 'outdoors', 'person', 'black', 'windbreaker', 'take', 'photo', 'multi-piece', 'fish', 'statue', 'small', 'white', 'dog', 'look', 'on']",along paved walkway outdoors person black windbreaker take photo multi-piece fish statue small white dog look on,Along a paved walkway outdoors a person in a black windbreaker takes a photo of a multi-piece fish statue while a small white dog looks on,entailment
979,"Three men in yellow green safety vests sit on a bench yawning, smoking and having a break.","three men in yellow green safety vests sit on a bench yawning, smoking and having a break.","three men yellow green safety vests sit bench yawning, smoking break.",three men yellow green safety vests sit bench yawning smoking break,"['three', 'men', 'yellow', 'green', 'safety', 'vest', 'sit', 'bench', 'yawning', 'smoking', 'break']",three men yellow green safety vest sit bench yawning smoking break,Three men in yellow green safety vests sit on a bench yawning smoking and having a break,neutral
980,A father is teaching his son how to ride a bicycle.,a father is teaching his son how to ride a bicycle.,father teaching son ride bicycle.,father teaching son ride bicycle,"['father', 'teaching', 'son', 'ride', 'bicycle']",father teaching son ride bicycle,A father is teaching his son how to ride a bicycle,entailment
981,Two men with graying beards share a laugh while enjoying the nice weather.,two men with graying beards share a laugh while enjoying the nice weather.,two men graying beards share laugh enjoying nice weather.,two men graying beards share laugh enjoying nice weather,"['two', 'men', 'graying', 'beard', 'share', 'laugh', 'enjoying', 'nice', 'weather']",two men graying beard share laugh enjoying nice weather,Two men with graying beards share a laugh while enjoying the nice weather,neutral
982,A woman sitting in an office.,a woman sitting in an office.,woman sitting office.,woman sitting office,"['woman', 'sitting', 'office']",woman sitting office,A woman sitting in an office,contradiction
983,Two adults hold either side of a boat at the edge of the water.,two adults hold either side of a boat at the edge of the water.,two adults hold either side boat edge water.,two adults hold either side boat edge water,"['two', 'adult', 'hold', 'either', 'side', 'boat', 'edge', 'water']",two adult hold either side boat edge water,Two adults hold either side of a boat at the edge of the water,neutral
984,A child with wet hair is holding a butterfly decorated beach ball.,a child with wet hair is holding a butterfly decorated beach ball.,child wet hair holding butterfly decorated beach ball.,child wet hair holding butterfly decorated beach ball,"['child', 'wet', 'hair', 'holding', 'butterfly', 'decorated', 'beach', 'ball']",child wet hair holding butterfly decorated beach ball,A child with wet hair is holding a butterfly decorated beach ball,neutral
985,"A sign indicates ""Dangerous Shorebreak"" on an overcast day while several people hang out on the beach.","a sign indicates ""dangerous shorebreak"" on an overcast day while several people hang out on the beach.","sign indicates ""dangerous shorebreak"" overcast day several people hang beach.","sign indicates ""dangerous shorebreak"" overcast day several people hang beach","['sign', 'indicates', '""dangerous', 'shorebreak""', 'overcast', 'day', 'several', 'people', 'hang', 'beach']","sign indicates ""dangerous shorebreak"" overcast day several people hang beach","A sign indicates ""Dangerous Shorebreak"" on an overcast day while several people hang out on the beach",contradiction
986,"A sign indicates ""Dangerous Shorebreak"" on an overcast day while several people hang out on the beach.","a sign indicates ""dangerous shorebreak"" on an overcast day while several people hang out on the beach.","sign indicates ""dangerous shorebreak"" overcast day several people hang beach.","sign indicates ""dangerous shorebreak"" overcast day several people hang beach","['sign', 'indicates', '""dangerous', 'shorebreak""', 'overcast', 'day', 'several', 'people', 'hang', 'beach']","sign indicates ""dangerous shorebreak"" overcast day several people hang beach","A sign indicates ""Dangerous Shorebreak"" on an overcast day while several people hang out on the beach",neutral
987,Two dogs are playing together.,two dogs are playing together.,two dogs playing together.,two dogs playing together,"['two', 'dog', 'playing', 'together']",two dog playing together,Two dogs are playing together,entailment
988,A black and white picture of a city street with a food vendor in the foreground.,a black and white picture of a city street with a food vendor in the foreground.,black white picture city street food vendor foreground.,black white picture city street food vendor foreground,"['black', 'white', 'picture', 'city', 'street', 'food', 'vendor', 'foreground']",black white picture city street food vendor foreground,A black and white picture of a city street with a food vendor in the foreground,entailment
989,A man in a blue shirt and tan shorts has his feet in the steps of an exercise bicycle and is working on the control panel of the machine.,a man in a blue shirt and tan shorts has his feet in the steps of an exercise bicycle and is working on the control panel of the machine.,man blue shirt tan shorts feet steps exercise bicycle working control panel machine.,man blue shirt tan shorts feet steps exercise bicycle working control panel machine,"['man', 'blue', 'shirt', 'tan', 'short', 'foot', 'step', 'exercise', 'bicycle', 'working', 'control', 'panel', 'machine']",man blue shirt tan short foot step exercise bicycle working control panel machine,A man in a blue shirt and tan shorts has his feet in the steps of an exercise bicycle and is working on the control panel of the machine,entailment
990,Navy men stand along a red carpet and salute as their superior walks by.,navy men stand along a red carpet and salute as their superior walks by.,navy men stand along red carpet salute superior walks by.,navy men stand along red carpet salute superior walks by,"['navy', 'men', 'stand', 'along', 'red', 'carpet', 'salute', 'superior', 'walk', 'by']",navy men stand along red carpet salute superior walk by,Navy men stand along a red carpet and salute as their superior walks by,neutral
991,Navy men stand along a red carpet and salute as their superior walks by.,navy men stand along a red carpet and salute as their superior walks by.,navy men stand along red carpet salute superior walks by.,navy men stand along red carpet salute superior walks by,"['navy', 'men', 'stand', 'along', 'red', 'carpet', 'salute', 'superior', 'walk', 'by']",navy men stand along red carpet salute superior walk by,Navy men stand along a red carpet and salute as their superior walks by,contradiction
